,quality
1760,6
3706,5
2233,5
5005,6
4454,5
4990,6
2416,5
1519,5
2395,6
2954,6
3724,6
1023,6
4720,7
2715,5
2696,5
3552,5
3739,5
2518,5
809,7
4792,4
1675,5
1746,5
978,7
2373,6
1736,7
1629,7
3053,5
430,7
2638,6
3929,6
3773,8
1893,5
3243,5
2640,6
2794,5
3094,6
2771,5
174,6
2342,6
4428,5
2195,6
1752,7
4945,5
217,5
4732,6
1721,5
4160,8
1444,5
690,6
2131,6
2927,5
4290,7
2543,6
1106,3
1934,7
818,5
2873,5
611,5
4856,6
3688,6
1697,5
136,5
3096,4
4669,7
576,5
2333,6
2437,6
4726,6
1180,5
888,7
3562,8
324,5
3349,5
2313,7
817,7
3725,7
5046,6
208,6
293,5
1971,7
1119,6
2515,7
2095,6
1264,6
990,7
4369,6
1614,6
4813,5
1739,5
4701,6
1912,7
1662,6
353,6
2499,8
4041,7
1881,8
1654,7
3937,6
1489,5
4266,7
3149,6
3471,6
1228,5
259,5
3181,6
2146,6
5045,6
4519,6
2886,6
52,5
3331,6
411,5
4536,6
5050,6
3166,7
4526,6
4522,7
2229,6
1479,6
1507,6
1033,6
1097,5
1469,5
543,5
1046,7
2218,7
1992,6
30,6
725,7
4591,6
4417,6
3931,6
5240,5
1426,5
5095,6
2836,5
436,5
2458,6
5315,6
912,5
4977,6
2231,6
1588,5
4435,7
4804,6
2900,6
3783,5
1590,5
4405,5
2584,6
1238,6
903,8
4293,7
3580,6
1905,7
507,6
3665,7
183,5
3431,5
1497,5
449,6
321,5
1211,5
4048,6
3126,7
2135,5
1769,7
2699,6
5040,7
3788,5
3257,7
2394,5
1551,6
4728,7
1146,5
2341,6
2646,6
44,5
1313,6
4248,5
3113,6
4240,7
2643,6
3792,5
1378,6
2404,7
3429,6
413,6
3311,7
1407,6
941,7
801,5
1288,5
1558,7
3167,7
3544,6
1961,7
5002,6
1699,6
256,5
2157,5
5221,8
1151,5
4811,4
1924,6
647,6
1767,6
5157,7
5024,6
3134,6
2210,7
2099,6
24,5
1315,5
1088,4
2268,7
2802,5
2100,7
1350,5
4890,6
112,5
3568,5
263,5
1393,6
2209,6
1186,7
2670,7
4903,7
56,5
1309,7
695,6
4475,6
2549,8
4711,5
4361,5
1227,5
276,5
2318,5
319,7
1833,5
2600,6
1589,5
1858,7
682,6
2505,5
5193,6
3655,6
479,6
3985,5
3240,7
286,5
2778,5
4775,6
2407,7
3978,5
4303,7
2110,7
3977,6
2121,5
1598,4
5204,8
4388,6
3889,5
736,7
2380,6
336,6
1872,7
4630,5
3366,4
3412,5
2996,5
4692,7
1071,6
3955,7
2086,5
2605,6
3982,7
4256,6
2807,5
4441,6
4383,5
81,5
2748,5
3830,7
1972,5
1714,5
1488,6
1777,6
498,6
4624,7
2228,6
5081,7
1946,5
4244,6
3318,6
3460,5
5178,7
2457,5
1610,7
5149,6
2592,6
4204,8
2309,5
1022,6
2596,5
5200,7
2280,7
4116,7
3487,5
2298,6
665,5
5113,7
4796,6
1552,6
4647,6
5217,6
1017,7
557,5
3038,5
5079,7
1207,6
2291,5
4149,6
1510,4
4965,6
3265,5
266,6
2145,5
2685,5
3619,5
1909,5
3231,6
3503,6
3196,6
3882,7
1784,6
1237,7
5249,6
2765,5
908,7
1303,6
3613,7
1627,6
1522,6
835,5
358,6
138,5
299,6
1556,6
1003,6
382,5
3010,7
761,6
2894,6
4486,6
2495,6
4783,6
1402,6
3150,6
4582,6
1932,5
5041,7
4250,6
3105,5
3858,6
58,7
76,5
796,5
3708,5
785,5
2316,6
3227,5
2223,6
2688,6
4119,6
910,5
2822,6
4986,6
1257,5
3956,6
5133,6
1178,6
5261,6
442,6
3262,7
3824,6
3208,5
5078,5
3940,5
5148,5
4182,7
2810,6
3728,5
4917,6
4926,5
2222,6
3458,6
1502,6
2488,7
3082,5
2011,5
3994,6
4985,5
4301,7
3976,7
6,7
678,5
1943,5
4808,6
4904,6
4141,6
4098,6
2858,6
4901,5
1064,6
2995,5
1474,6
3833,6
4857,7
4771,6
2021,6
4197,6
3438,4
2194,6
1130,6
1461,5
4822,6
2648,6
4080,5
222,5
4937,5
48,6
573,6
1236,5
4026,6
5161,6
4788,6
267,5
1104,6
1935,4
386,7
3758,6
3519,5
3102,6
4667,7
1563,6
4705,7
209,6
909,7
1289,5
3971,6
3089,6
1842,6
4362,7
2916,7
958,6
1793,6
2088,3
331,6
2917,7
3114,5
4996,5
1774,4
2698,6
5125,5
4331,6
3570,7
3024,5
2245,6
3831,6
4053,7
1366,5
173,5
3697,7
3785,6
2314,5
4651,5
1952,5
5210,6
2036,5
3975,5
3749,5
3379,5
0,5
2174,7
1356,6
3859,6
2575,5
2523,7
396,5
4075,6
4263,6
1812,6
2897,6
3554,5
816,6
1572,3
3372,5
1800,4
4220,6
4654,6
2627,5
4603,6
3095,6
4882,5
2650,6
3439,6
4772,6
554,7
1159,6
1213,6
4845,6
4088,7
2895,6
2686,4
700,5
3593,6
3492,5
3761,5
1455,4
4467,7
2357,5
4599,6
866,6
1644,6
3614,5
4403,6
2763,4
1490,6
3599,5
729,6
3132,5
2809,6
1936,6
1110,5
4334,5
4762,6
1185,5
2007,7
193,5
1515,6
578,6
2123,5
1429,6
4842,6
5269,5
1846,6
131,5
178,5
4757,6
3058,5
2862,8
2692,5
2980,6
2073,7
658,5
1896,6
3768,6
2221,6
5130,5
342,5
2890,7
727,6
4200,6
976,6
4060,6
3384,4
1928,5
4472,5
3683,5
1299,5
4095,6
5038,7
660,6
1790,6
2718,7
3162,5
3382,6
2486,5
5141,5
4480,6
4085,6
3630,8
1278,6
3494,6
1621,7
3515,6
4585,6
67,5
4154,6
2409,5
2269,6
5218,5
820,5
1226,6
3403,5
4460,5
2432,5
3116,5
4768,7
4546,5
3807,6
1143,5
397,8
5174,6
4578,7
3135,6
1398,7
1659,7
2220,6
979,6
2331,5
1298,6
2576,5
82,5
3790,5
3822,7
4169,6
5076,5
2602,6
423,5
4618,5
1904,6
4831,7
4035,3
4874,6
1565,6
3814,6
839,6
500,5
141,5
1377,5
4381,5
2266,5
3007,5
1138,6
3874,6
4850,8
1787,6
4718,8
550,5
3827,7
2019,6
948,6
2572,6
3137,5
532,6
3080,6
1829,7
4071,7
4707,7
4247,5
1602,6
2238,4
639,5
5142,6
967,6
4512,5
4910,5
1683,7
2248,5
4761,4
2659,4
155,5
2295,7
2826,6
3221,5
1089,6
3011,6
2319,5
4515,6
288,6
930,7
4597,6
2707,6
2574,5
4834,6
3835,6
2687,6
3933,6
942,5
2354,5
4237,5
4963,6
1698,5
5012,6
4161,8
2846,5
4950,6
3491,5
985,6
3148,6
2787,5
3034,5
5085,7
981,7
3106,5
4264,6
3806,6
3872,5
4006,6
5183,6
4231,6
1457,6
1395,6
264,5
4497,4
929,6
3484,6
2586,5
4666,5
2178,6
4004,7
246,5
4078,6
1758,6
5176,6
3875,5
923,5
2662,6
268,6
669,6
3107,5
1910,4
3886,7
1152,6
5126,7
4696,6
4516,6
1781,6
2413,7
2307,6
2462,8
4473,6
1915,5
612,5
5214,4
2267,6
4009,6
1898,5
1649,6
4844,6
258,5
3825,8
847,6
3751,6
4527,6
1233,6
1127,7
2803,5
1967,6
558,7
904,6
484,6
2211,6
1320,6
2671,7
7,7
2315,7
3727,7
3628,6
1450,5
1201,7
2426,6
1814,6
773,7
2274,6
1011,5
3199,5
4820,5
1991,6
1277,6
1783,7
3537,6
446,6
880,6
4750,5
781,6
1749,6
3855,6
4983,5
2423,6
5194,6
4600,6
883,5
2694,7
1091,6
4747,6
3336,6
531,5
2882,6
2438,6
4325,7
4219,6
4367,5
2290,6
1727,6
610,5
570,6
3029,6
3447,6
343,5
3414,7
3575,6
434,8
1903,7
97,5
4545,6
2069,6
1537,5
3127,5
2663,6
1517,5
965,7
4694,5
528,6
176,4
2470,6
3958,6
2887,6
4574,6
572,5
2614,5
3986,7
4427,6
3098,6
2374,7
4994,6
3653,6
2932,7
2208,6
4422,6
2492,8
3129,5
383,8
852,7
1880,5
370,5
2955,7
4319,6
4602,5
1105,6
3621,6
2361,7
4288,7
1336,6
2189,7
5239,6
3795,7
3722,5
3779,5
5009,6
5158,6
1171,5
2943,5
4316,7
1422,5
2658,6
3274,6
5313,6
1464,6
874,5
2297,6
2641,6
4619,5
1251,7
3317,5
840,7
3493,5
581,5
204,5
1641,6
2014,6
905,6
631,6
4770,6
1974,5
162,6
3793,6
3252,5
4787,6
2819,6
617,5
875,6
1431,6
547,5
3928,6
4839,5
5053,6
4322,7
3023,6
4895,6
4349,8
1861,7
640,5
5120,6
637,5
3995,6
3997,5
2308,7
3396,6
2096,6
2818,6
4108,6
1372,8
3767,4
921,6
546,5
1449,6
2610,6
1900,4
2028,6
2301,8
1885,5
1642,5
5211,6
5118,6
2097,6
4641,5
4046,8
4786,6
5284,6
836,6
601,5
2184,6
4241,5
2820,6
4584,6
1582,6
4543,6
2876,5
3828,6
1070,5
1775,6
5117,7
1283,6
3473,5
5093,7
5060,6
1836,5
4517,7
1019,6
3647,7
1326,5
475,6
3918,7
1651,5
4943,6
4562,6
2528,7
2962,7
2815,6
3505,5
1373,6
739,6
4103,6
4378,6
867,5
1140,6
997,6
1337,6
541,5
1099,5
1132,6
5162,6
4549,5
2258,6
4308,6
59,5
3497,7
1938,4
3856,6
5252,5
2722,6
2776,6
1078,6
3315,5
4044,5
4541,8
2630,7
2827,5
940,6
1080,6
187,6
2988,5
2085,6
2249,4
3133,5
5205,7
2023,7
3043,5
1492,7
5144,5
226,5
3754,6
2583,6
1929,5
3479,7
4781,6
1404,7
2179,5
697,7
1124,5
3176,5
3316,6
1778,6
2634,5
3245,6
1037,6
4446,5
2256,5
5257,6
313,7
2649,6
2281,6
3033,5
2547,5
1416,7
1036,6
2159,6
4434,6
1754,5
4886,6
3194,6
3063,5
2520,7
3649,8
3802,6
4608,6
1506,5
1923,5
448,5
2775,6
4956,6
5286,7
5111,5
361,7
2183,6
1134,5
4252,5
2155,5
1830,5
1053,6
2460,5
22,6
2066,8
1653,6
2937,5
3652,5
2743,6
3501,6
4335,6
2468,5
2325,5
460,6
1067,5
87,6
1430,5
3002,6
282,6
2483,6
462,6
212,6
2588,5
4938,6
2581,6
1368,7
234,4
4853,6
597,3
4709,6
2250,5
4333,7
2283,6
662,5
5280,6
2285,5
5020,6
3632,5
3276,7
2842,7
3901,7
779,6
2544,6
5209,4
3895,6
4968,6
5052,6
5145,7
685,5
3607,7
4342,8
3904,7
2171,6
3112,5
1850,7
487,5
1688,5
2230,3
3711,6
2320,5
782,6
521,4
522,6
5112,5
4292,7
2398,7
2207,7
4259,6
4034,6
4168,7
3203,6
1511,6
1882,4
651,5
3165,5
3518,6
369,7
5287,5
3592,5
118,5
5316,5
5151,6
2216,6
4023,6
1613,6
3309,7
962,6
2510,7
5171,5
3204,7
3915,5
4621,5
2415,7
4952,5
4510,6
2185,5
5283,6
2567,5
2037,6
4538,5
772,5
1284,6
4897,5
5042,5
2587,7
4954,6
1414,6
1234,6
3064,6
435,6
1674,5
365,5
4181,6
231,5
4677,6
147,5
4685,6
3805,5
407,6
2090,7
86,4
844,5
1031,5
2984,6
4471,5
3090,6
3820,6
2628,7
3014,5
855,5
78,6
2247,6
3253,7
4863,6
4900,6
758,6
3573,7
3305,5
2279,8
2948,5
4430,7
4246,7
3897,6
2176,6
424,6
392,6
5030,7
5233,7
104,6
2672,6
3378,6
2921,4
3571,6
4271,6
1948,7
1459,5
3704,7
3184,5
3071,7
5098,5
1587,5
4126,8
1731,6
5072,7
4155,6
182,7
1791,5
2355,7
1940,5
702,5
2442,8
4002,6
496,4
464,6
3049,6
4612,6
172,5
4877,5
5105,6
2540,6
4766,7
3353,6
2260,6
2112,5
900,5
1446,5
4059,7
2697,5
4373,6
741,6
2293,7
2452,6
5011,6
4355,8
1206,4
509,5
4425,5
2973,5
5073,4
3764,7
1549,6
3714,7
2202,6
2566,6
3039,7
2044,5
767,6
5185,5
1508,4
421,8
123,5
5067,6
2981,3
819,6
1403,7
1382,6
2148,5
4828,6
1575,7
1638,5
1795,5
5124,7
4743,8
399,5
2310,5
882,7
5290,6
3337,8
1352,6
4183,7
5299,7
2130,7
982,6
456,5
4010,6
1079,6
1950,6
4888,5
689,7
2429,7
641,6
2392,7
2825,6
1953,5
3121,4
3142,5
3905,7
2710,7
5063,7
5074,6
3809,6
1884,6
3936,6
389,5
2494,6
3551,7
3285,6
845,6
542,6
91,6
5007,6
1979,5
3193,5
4358,6
3298,6
2964,5
2529,7
1676,6
1048,6
2949,5
1960,6
2530,6
3771,6
3159,7
237,6
3371,5
3965,6
1133,5
2880,6
1805,5
5165,6
163,5
4870,6
5065,6
5013,5
3800,5
5075,5
4179,8
265,5
2001,5
1811,5
2978,6
3543,5
2906,7
3585,6
1428,6
398,5
4245,4
3864,6
4751,6
4947,5
3832,5
1452,5
593,5
2725,8
41,4
560,4
3334,4
3464,7
243,7
1339,6
4345,8
3364,6
405,6
1442,7
261,6
4817,6
1689,6
1725,6
1203,5
834,7
1866,5
2496,5
3016,6
3941,6
2010,7
3153,5
340,7
3399,6
1601,5
2796,5
3418,5
4997,5
480,6
3206,4
4999,6
1523,6
3862,6
4806,6
4935,6
3469,5
799,4
1766,6
4764,6
4074,7
2453,7
3268,5
4215,7
4320,6
4979,7
363,5
1271,5
3504,7
4793,5
3523,7
4412,5
347,6
4253,7
4918,5
2562,6
3027,4
4883,6
1423,6
656,5
4595,7
4908,7
2102,7
632,5
3286,5
2493,5
2665,6
3659,5
4129,7
3757,5
3903,7
4084,6
2500,7
1465,5
4540,6
115,5
1821,7
1494,5
2401,6
1232,5
2661,6
2817,6
3263,5
4866,6
1153,5
4507,6
57,5
5001,6
5216,5
5047,6
5262,5
1735,7
2823,5
2196,5
4036,6
2475,5
2564,4
3960,8
3362,5
2608,6
4216,6
707,5
3046,7
4557,5
1093,6
4914,6
1376,8
5229,5
72,5
1922,6
3611,6
1764,6
743,5
3269,5
1005,7
2668,7
1190,8
4967,6
2601,4
1125,6
1241,6
3235,5
4400,6
3912,4
998,6
4610,5
2684,6
1577,4
5099,6
1826,7
3742,8
5307,6
4015,7
440,7
5268,6
1100,6
2637,7
3482,6
649,6
1546,5
4019,7
4043,7
3601,6
3625,6
4825,5
630,5
672,6
1249,5
4656,6
482,5
1584,5
3499,5
4922,6
3657,6
1462,6
3040,6
4278,7
4104,6
5298,6
3131,6
2578,5
4205,7
49,5
4566,7
3480,5
858,5
3225,6
1072,6
719,4
4273,6
2631,6
5186,3
1660,6
1656,6
2425,6
4003,6
4502,5
5291,6
3759,6
3097,5
4767,5
3755,7
5058,6
3189,5
2934,6
4396,7
3540,6
2606,6
1385,6
4463,5
1399,4
1195,7
1408,6
1845,5
1798,5
1475,5
3660,5
35,4
4022,6
2345,5
3615,5
2359,6
3006,5
2206,5
3641,6
4572,6
3179,6
1286,5
349,6
2137,5
2691,4
3388,5
3559,6
1681,6
4531,6
1443,4
3690,5
3215,5
1671,6
3846,6
1179,5
2798,6
1692,5
4919,6
372,6
3055,6
4100,5
1916,6
1357,5
1825,6
786,6
469,5
140,6
788,6
323,7
50,6
714,7
4981,5
2840,7
2446,6
5122,6
4992,6
4708,5
4889,6
3433,5
2666,6
406,5
3944,6
1004,4
5021,6
890,6
2411,7
2545,8
3906,6
2390,7
4758,4
42,5
2830,6
4110,7
3022,6
303,6
4805,5
11,5
664,6
1177,5
3292,5
2676,5
1947,5
2501,7
1473,5
4137,6
3999,7
2132,6
1026,5
2989,5
961,6
2889,6
3021,8
3015,5
4190,7
3338,6
2009,7
2149,6
4717,7
2338,4
735,6
304,6
1440,6
1496,5
2652,7
2875,5
916,6
4453,3
710,7
4920,6
4700,7
2772,5
1624,6
4229,6
821,5
3750,5
1354,6
4789,6
850,6
3350,5
1000,6
3842,5
18,6
1637,6
1667,5
493,6
3173,6
1347,6
3018,6
4163,6
3230,5
3702,6
4101,7
3957,6
687,5
1112,5
3232,5
1608,6
4359,7
3871,5
1009,6
3291,8
2408,7
1092,6
1327,5
4957,5
1677,7
1999,7
1310,6
4683,5
4374,6
3705,5
1987,6
4121,6
344,5
4457,5
986,7
587,5
2791,6
4590,7
3541,5
4314,6
3520,5
3450,7
3289,5
1142,5
2358,5
3264,5
1198,5
85,5
1518,6
516,5
1381,6
3623,6
2716,7
3821,7
1014,4
128,5
1364,6
4105,6
4302,6
3558,6
891,6
2793,6
4481,5
1359,6
307,5
1661,6
2431,7
4283,5
1317,8
4580,5
3249,6
2474,6
2542,7
5202,6
1246,5
4442,6
1208,6
3377,6
216,5
4586,5
4738,5
1239,4
2289,7
2740,6
275,6
489,5
1035,6
1229,8
4878,6
1008,5
5010,5
5282,6
3620,7
2532,6
4440,5
1058,6
2166,7
4368,5
3837,6
281,6
4049,6
1316,5
5295,5
968,6
3841,4
1939,6
3604,6
3998,4
619,5
4025,6
1742,5
1390,5
4343,7
1847,6
1579,5
1655,6
2352,5
2212,5
3275,6
2020,6
5289,6
1956,5
5061,6
3192,7
1307,5
2003,6
4746,5
575,5
2360,6
5256,6
4727,6
1706,6
1799,6
3347,6
3945,6
1280,6
4340,7
861,5
4416,6
1801,6
1628,5
1993,6
2639,6
269,6
629,6
3081,5
3466,6
2334,5
4657,6
2966,6
300,5
459,6
1447,5
1472,5
2046,5
4501,5
4189,7
3803,5
2113,6
27,5
2040,6
4815,5
4039,5
837,5
129,5
3829,6
2008,7
5223,6
503,5
3648,8
4581,7
380,6
1851,7
1525,5
2365,6
3674,7
3052,5
2884,5
2340,6
374,5
3707,5
2381,6
4587,7
939,5
5100,5
4235,7
4436,5
2799,6
2147,7
4410,5
4833,6
4489,5
2068,5
529,6
3308,6
5153,7
636,5
1269,6
185,7
1394,6
3617,6
4239,5
1797,6
2979,5
1441,6
3896,7
5187,6
1535,5
4876,5
3188,5
1273,5
2467,6
607,6
4960,6
1712,7
2199,7
955,6
2579,5
4627,6
4265,6
4715,5
4058,5
2852,5
403,5
2071,7
5062,6
1977,7
158,5
1748,5
2909,6
4013,6
902,6
352,5
1230,7
4971,6
2140,5
444,7
5265,4
754,4
1737,6
2971,7
5296,6
2920,6
311,5
3423,6
548,6
661,6
5069,6
1989,6
306,6
2335,5
694,6
2356,6
1927,7
684,6
3427,5
749,5
3966,4
3693,6
1266,5
3734,5
4008,7
4713,7
4338,6
2134,5
3083,6
3061,6
3025,6
970,6
13,5
873,6
808,7
3198,6
514,5
4763,6
409,6
3877,5
5301,4
5258,5
4622,5
207,6
3667,6
458,5
3946,6
2430,8
250,7
110,5
4176,7
1107,6
4326,7
1883,6
1713,5
1287,6
3868,5
3441,6
552,5
1439,7
2270,5
4112,6
3144,6
2821,6
5089,5
1925,6
634,5
5114,5
316,6
4490,6
5003,6
1328,6
427,7
3838,6
105,6
3041,5
142,4
2169,5
4081,5
89,5
2918,5
3237,5
2241,5
3174,7
3881,8
2163,7
2636,6
1949,4
1768,6
3732,5
2272,6
1,5
4076,7
5274,6
1951,6
935,6
4573,7
2720,5
3963,6
1109,6
4073,7
591,5
3534,5
1695,5
4201,8
2936,5
4476,6
3880,6
1576,6
1111,5
213,6
778,6
1415,5
3496,5
101,5
2043,6
2848,6
4830,6
4315,7
4213,8
1567,7
165,5
5018,6
3566,7
4069,6
5242,7
1343,5
2013,6
273,5
71,6
4260,6
1087,6
394,6
583,6
1367,5
5305,6
4939,5
2548,4
1013,5
5213,6
3003,6
5097,6
1701,5
4011,5
1763,6
1875,6
1259,5
3344,8
4823,6
2253,4
2781,7
4082,6
526,7
4222,5
5281,5
2946,5
377,6
1559,6
692,5
1963,5
5037,7
348,5
2434,5
2246,5
4437,5
3633,6
1709,7
1050,4
590,5
519,6
3380,5
3676,6
4785,5
4393,7
2477,6
1083,6
4077,6
3610,6
5086,7
4801,6
1294,6
1809,6
3595,6
791,7
792,6
4384,5
1855,5
5064,6
1980,6
3233,6
3598,5
933,5
3852,7
3328,4
1530,5
1410,6
3524,7
4688,5
4946,5
83,5
868,6
2350,5
20,5
3893,6
4295,7
5300,5
2795,4
3453,5
4865,5
3778,4
1562,7
4477,7
3093,5
3155,6
973,6
1710,6
3201,6
4304,6
5128,5
1098,5
4594,6
2844,5
886,5
5247,6
4628,5
3560,6
4873,5
4050,7
4687,7
515,5
4915,5
737,7
1453,5
3553,5
3609,5
2006,6
5004,5
2506,5
2994,7
2126,7
2926,7
3717,6
5304,5
906,6
28,6
1030,6
2507,6
2428,5
947,6
4209,7
762,7
3747,5
715,8
284,5
686,6
703,4
3341,4
2353,6
2257,5
4254,6
473,6
21,5
2752,4
885,6
2448,6
917,5
2571,7
1040,6
2239,5
730,5
3395,6
1265,5
483,5
4616,6
2963,5
1219,5
277,6
988,6
2084,7
1245,3
2382,5
571,4
1435,6
993,5
3922,6
3917,6
585,5
3526,5
4125,6
2514,4
1349,6
1007,6
674,5
2412,6
2903,6
447,7
3947,7
2913,5
4560,5
359,5
2064,7
4740,5
4824,5
1690,6
4605,4
1548,6
1247,5
1985,5
294,6
1547,6
2012,9
588,5
3789,5
3329,3
2403,5
2129,7
4672,6
3741,6
3508,5
2410,4
2719,7
4847,5
425,5
2582,6
1054,4
4849,5
4855,6
556,5
4629,6
4638,5
2054,7
5016,6
2469,5
3738,5
5014,6
355,7
1193,6
1716,5
3416,6
2604,6
4399,6
2828,5
1704,6
2863,5
4165,6
2618,8
2400,6
2139,7
3239,6
2383,6
3218,5
4174,5
1285,6
