,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates
2580,7.0,0.18,0.49,5.3,0.04,34.0,125.0,0.9914,3.24,0.4
2585,6.9,0.19,0.49,6.6,0.036,49.0,172.0,0.9932,3.2,0.27
4816,7.0,0.2,0.33,4.7,0.03,25.0,76.0,0.99202,2.88,0.54
3477,6.6,0.36,0.52,11.3,0.046,8.0,110.0,0.9966,3.07,0.46
841,7.1,0.36,0.3,1.6,0.08,35.0,70.0,0.99693,3.44,0.5
4537,6.5,0.22,0.31,3.9,0.046,17.0,106.0,0.99098,3.15,0.31
175,5.4,0.835,0.08,1.2,0.046,13.0,93.0,0.9924,3.57,0.85
3574,7.6,0.1,0.33,1.0,0.031,33.0,93.0,0.99094,3.06,0.68
927,10.0,0.26,0.54,1.9,0.083,42.0,74.0,0.99451,2.98,0.63
2609,7.5,0.32,0.24,4.6,0.053,8.0,134.0,0.9958,3.14,0.5
45,5.6,0.31,0.37,1.4,0.074,12.0,96.0,0.9954,3.32,0.58
1096,7.1,0.16,0.44,2.5,0.068,17.0,31.0,0.99328,3.35,0.54
1902,6.0,0.32,0.12,5.9,0.041,34.0,190.0,0.9944,3.16,0.72
4356,5.4,0.3,0.3,1.2,0.029,25.0,93.0,0.98742,3.31,0.4
3861,5.7,0.12,0.26,5.5,0.034,21.0,99.0,0.99324,3.09,0.57
1578,6.9,0.115,0.35,5.4,0.048,36.0,108.0,0.9939,3.32,0.42
3529,7.8,0.17,0.23,1.7,0.029,39.0,128.0,0.99272,3.37,0.41
2497,6.6,0.25,0.31,12.4,0.059,52.0,181.0,0.9984,3.51,0.47
283,11.6,0.53,0.66,3.65,0.121,6.0,14.0,0.9978,3.05,0.74
5278,6.2,0.35,0.29,3.9,0.041,22.0,79.0,0.99005,3.1,0.59
4385,8.5,0.18,0.3,1.1,0.028,34.0,95.0,0.99272,2.83,0.36
1813,6.7,0.24,0.41,8.7,0.036,29.0,148.0,0.9952,3.22,0.62
1891,7.4,0.28,0.25,11.9,0.053,25.0,148.0,0.9976,3.1,0.62
1255,5.6,0.62,0.03,1.5,0.08,6.0,13.0,0.99498,3.66,0.62
1550,7.1,0.24,0.41,17.8,0.046,39.0,145.0,0.9998,3.32,0.39
5019,7.0,0.23,0.32,1.8,0.048,25.0,113.0,0.9915,3.11,0.47
1420,6.2,0.27,0.43,7.8,0.056,48.0,244.0,0.9956,3.1,0.51
4196,6.9,0.29,0.41,7.8,0.046,52.0,171.0,0.99537,3.12,0.51
2025,7.4,0.32,0.27,1.4,0.049,38.0,173.0,0.99335,3.03,0.52
4451,6.8,0.21,0.62,6.4,0.041,7.0,113.0,0.99358,2.96,0.59
3801,5.5,0.34,0.26,2.2,0.021,31.0,119.0,0.98919,3.55,0.49
4195,6.2,0.3,0.31,1.6,0.035,40.0,106.0,0.98914,3.26,0.39
3323,7.2,0.3,0.3,8.1,0.05,40.0,188.0,0.99652,3.15,0.49
4852,7.4,0.27,0.52,15.7,0.054,36.0,139.0,0.99788,3.04,0.62
257,10.6,0.83,0.37,2.6,0.086,26.0,70.0,0.9981,3.16,0.52
5251,6.5,0.28,0.34,4.6,0.054,22.0,130.0,0.99193,3.2,0.46
4337,6.3,0.32,0.17,17.75,0.06,51.0,190.0,0.99916,3.13,0.48
99,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69
2673,6.2,0.43,0.49,6.4,0.045,12.0,115.0,0.9963,3.27,0.57
4673,5.0,0.255,0.22,2.7,0.043,46.0,153.0,0.99238,3.75,0.76
3101,8.2,0.17,0.32,1.5,0.05,17.0,101.0,0.994,3.14,0.58
3796,7.7,0.11,0.34,14.05,0.04,41.0,114.0,0.99634,3.07,0.59
3590,7.0,0.18,0.37,1.5,0.043,16.0,104.0,0.99216,3.18,0.5
3700,5.5,0.375,0.38,1.7,0.036,17.0,98.0,0.99142,3.29,0.39
1918,6.4,0.24,0.5,11.6,0.047,60.0,211.0,0.9966,3.18,0.57
366,11.9,0.38,0.51,2.0,0.121,7.0,20.0,0.9996,3.24,0.76
3817,6.7,0.18,0.28,10.2,0.039,29.0,115.0,0.99469,3.11,0.45
2119,7.5,0.24,0.31,13.0,0.049,46.0,217.0,0.9985,3.08,0.53
4982,6.6,0.19,0.28,1.1,0.044,38.0,100.0,0.9904,3.22,0.69
2883,9.4,0.16,0.23,1.6,0.042,14.0,67.0,0.9942,3.07,0.32
949,7.0,0.69,0.07,2.5,0.091,15.0,21.0,0.99572,3.38,0.6
1397,6.7,0.23,0.26,1.4,0.06,33.0,154.0,0.9934,3.24,0.56
19,7.6,0.39,0.31,2.3,0.082,23.0,71.0,0.9982,3.52,0.65
5025,5.9,0.21,0.23,7.9,0.033,22.0,130.0,0.9944,3.38,0.59
668,7.9,0.4,0.29,1.8,0.157,1.0,44.0,0.9973,3.3,0.92
218,7.7,0.53,0.06,1.7,0.074,9.0,39.0,0.99615,3.35,0.48
4272,7.6,0.38,0.28,4.2,0.029,7.0,112.0,0.9906,3.0,0.41
1973,6.4,0.16,0.31,5.3,0.043,42.0,157.0,0.99455,3.35,0.47
3737,6.9,0.4,0.3,10.6,0.033,24.0,87.0,0.99265,3.15,0.45
3902,6.6,0.78,0.5,1.5,0.045,30.0,133.0,0.99104,3.25,0.48
3139,5.5,0.24,0.32,8.7,0.06,19.0,102.0,0.994,3.27,0.31
2533,6.2,0.33,0.29,1.3,0.042,26.0,138.0,0.9956,3.77,0.64
777,6.1,0.56,0.0,2.2,0.079,6.0,9.0,0.9948,3.59,0.54
1747,7.0,0.14,0.32,9.0,0.039,54.0,141.0,0.9956,3.22,0.43
1018,6.4,0.885,0.0,2.3,0.166,6.0,12.0,0.99551,3.56,0.51
3481,5.7,0.255,0.65,1.2,0.079,17.0,137.0,0.99307,3.2,0.42
3583,6.6,0.24,0.38,8.0,0.042,56.0,187.0,0.99577,3.21,0.46
1504,7.6,0.48,0.37,0.8,0.037,4.0,100.0,0.9902,3.03,0.39
517,12.4,0.4,0.51,2.0,0.059,6.0,24.0,0.9994,3.04,0.6
4299,6.6,0.39,0.38,9.7,0.053,49.0,226.0,0.99787,3.3,0.57
1672,6.9,0.33,0.21,1.0,0.053,39.0,148.0,0.9927,3.12,0.45
3513,6.2,0.26,0.32,15.3,0.031,64.0,185.0,0.99835,3.31,0.61
1770,7.8,0.19,0.26,8.9,0.039,42.0,182.0,0.996,3.18,0.46
2321,6.7,0.25,0.34,12.85,0.048,30.0,161.0,0.9986,3.44,0.47
1561,7.7,0.31,0.26,7.8,0.031,23.0,90.0,0.9944,3.13,0.5
3211,8.4,0.2,0.31,2.8,0.054,16.0,89.0,0.99416,2.96,0.45
3123,6.4,0.2,0.32,3.1,0.041,18.0,126.0,0.9914,3.43,0.42
2406,7.9,0.14,0.28,1.8,0.041,44.0,178.0,0.9954,3.45,0.43
1052,6.0,0.33,0.32,12.9,0.054,6.0,113.0,0.99572,3.3,0.56
3070,6.8,0.33,0.44,7.0,0.05,29.0,155.0,0.9955,3.14,0.42
759,8.4,0.31,0.29,3.1,0.194,14.0,26.0,0.99536,3.22,0.78
4224,6.5,0.16,0.34,1.4,0.029,29.0,133.0,0.99108,3.33,0.64
1209,7.6,0.41,0.33,2.5,0.078,6.0,23.0,0.9957,3.3,0.58
214,15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84
1360,6.3,0.3,0.34,1.6,0.049,14.0,132.0,0.994,3.3,0.49
2187,7.4,0.28,0.3,5.3,0.054,44.0,161.0,0.9941,3.12,0.48
1293,6.7,0.48,0.08,2.1,0.064,18.0,34.0,0.99552,3.33,0.64
2833,8.3,0.3,0.36,10.0,0.042,33.0,169.0,0.9982,3.23,0.51
3535,7.2,0.24,0.27,11.4,0.034,40.0,174.0,0.99773,3.2,0.44
4880,6.4,0.35,0.21,2.1,0.051,46.0,171.0,0.9932,3.16,0.5
196,7.8,0.34,0.37,2.0,0.082,24.0,58.0,0.9964,3.34,0.59
1323,7.0,0.56,0.17,1.7,0.065,15.0,24.0,0.99514,3.44,0.68
3710,7.9,0.2,0.39,1.0,0.041,37.0,154.0,0.99093,3.08,0.43
4323,5.8,0.58,0.0,1.5,0.02,33.0,96.0,0.98918,3.29,0.38
1056,7.5,0.61,0.2,1.7,0.076,36.0,60.0,0.99494,3.1,0.4
1620,6.2,0.31,0.26,4.8,0.037,36.0,148.0,0.9928,3.21,0.41
887,6.9,0.49,0.19,1.7,0.079,13.0,26.0,0.99547,3.38,0.64
3085,7.7,0.28,0.29,4.3,0.051,25.0,142.0,0.9939,3.16,0.39
3400,7.1,0.29,0.3,16.0,0.036,58.0,201.0,0.99954,3.3,0.67
3679,7.2,0.17,0.41,1.6,0.052,24.0,126.0,0.99228,3.19,0.49
568,9.7,0.55,0.17,2.9,0.087,20.0,53.0,1.0004,3.14,0.61
3428,7.9,0.27,0.27,1.7,0.034,25.0,122.0,0.99088,2.97,0.51
2908,6.9,0.18,0.33,1.0,0.054,24.0,164.0,0.9926,3.42,0.51
5285,5.9,0.22,0.3,1.3,0.052,42.0,86.0,0.99069,3.31,0.47
139,7.1,0.68,0.0,2.2,0.073,12.0,22.0,0.9969,3.48,0.5
1533,5.8,0.28,0.35,2.3,0.053,36.0,114.0,0.9924,3.28,0.5
1149,6.1,0.34,0.25,1.8,0.084,4.0,28.0,0.99464,3.36,0.44
4702,5.9,0.27,0.27,9.0,0.051,43.0,136.0,0.9941,3.25,0.53
3339,7.6,0.2,0.68,12.9,0.042,56.0,160.0,0.99841,3.05,0.41
4791,7.0,0.24,0.24,1.8,0.047,29.0,91.0,0.99251,3.3,0.43
463,11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61
2647,7.2,0.27,0.74,12.5,0.037,47.0,156.0,0.9981,3.04,0.44
3321,7.6,0.32,0.35,1.6,0.092,24.0,138.0,0.99438,3.19,0.44
4438,6.6,0.27,0.52,8.1,0.044,53.0,202.0,0.99548,3.18,0.48
594,9.1,0.64,0.23,3.1,0.095,13.0,38.0,0.9998,3.28,0.59
2463,9.7,0.14,0.59,1.5,0.049,23.0,142.0,0.9958,2.98,0.62
450,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63
3686,7.2,0.26,0.4,6.3,0.047,52.0,172.0,0.99573,3.18,0.53
3525,6.6,0.35,0.35,6.0,0.063,31.0,150.0,0.99537,3.1,0.47
1643,5.6,0.26,0.26,5.7,0.031,12.0,80.0,0.9923,3.25,0.38
1988,7.0,0.21,0.34,8.5,0.033,31.0,253.0,0.9953,3.22,0.56
2339,7.6,0.33,0.36,2.1,0.034,26.0,172.0,0.9944,3.42,0.48
5107,5.0,0.24,0.34,1.1,0.034,49.0,158.0,0.98774,3.32,0.32
3078,5.7,0.46,0.46,1.4,0.04,31.0,169.0,0.9932,3.13,0.47
1174,8.0,0.81,0.25,3.4,0.076,34.0,85.0,0.99668,3.19,0.42
1786,7.8,0.34,0.35,1.8,0.042,8.0,167.0,0.9908,3.11,0.41
451,10.9,0.21,0.49,2.8,0.088,11.0,32.0,0.9972,3.22,0.68
4710,6.1,0.3,0.47,1.4,0.049,50.0,187.0,0.9927,3.19,0.45
3392,6.6,0.34,0.34,2.6,0.051,40.5,210.0,0.99314,3.15,0.61
3322,7.4,0.33,0.44,7.6,0.05,40.0,227.0,0.99679,3.12,0.52
4928,6.7,0.34,0.31,16.4,0.051,20.0,146.0,0.99834,3.06,0.54
2282,7.2,0.21,0.35,14.5,0.048,35.0,178.0,0.9982,3.05,0.47
4984,5.8,0.26,0.3,2.6,0.034,75.0,129.0,0.9902,3.2,0.38
999,9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.99667,3.2,0.67
2225,7.0,0.24,0.35,1.5,0.052,51.0,128.0,0.9941,3.41,0.59
4626,6.8,0.16,0.36,1.3,0.034,32.0,98.0,0.99058,3.02,0.58
192,8.7,0.625,0.16,2.0,0.101,13.0,49.0,0.9962,3.14,0.57
4173,6.7,0.3,0.44,18.5,0.057,65.0,224.0,0.99956,3.11,0.53
4797,3.8,0.31,0.02,11.1,0.036,20.0,114.0,0.99248,3.75,0.44
4902,5.9,0.29,0.16,7.9,0.044,48.0,197.0,0.99512,3.21,0.36
1467,6.1,0.3,0.56,2.8,0.044,47.0,179.0,0.9924,3.3,0.57
4504,6.8,0.73,0.2,6.6,0.054,25.0,65.0,0.99324,3.12,0.28
4714,7.2,0.26,0.38,1.5,0.061,12.0,120.0,0.99192,3.18,0.46
3238,6.3,0.2,0.3,5.9,0.034,35.0,152.0,0.99642,3.47,0.4
3910,7.7,0.25,0.49,2.5,0.047,31.0,169.0,0.99252,3.07,0.57
2242,6.5,0.19,0.1,1.3,0.046,23.0,107.0,0.9937,3.29,0.45
4670,5.3,0.23,0.56,0.9,0.041,46.0,141.0,0.99119,3.16,0.62
3942,7.2,0.32,0.4,8.7,0.038,45.0,154.0,0.99568,3.2,0.47
4949,6.4,0.23,0.27,2.1,0.042,35.0,100.0,0.99094,3.03,0.63
2168,5.9,0.26,0.21,12.5,0.034,36.0,152.0,0.9972,3.28,0.43
3656,6.4,0.24,0.25,20.2,0.083,35.0,157.0,0.99976,3.17,0.5
3375,6.2,0.44,0.18,7.7,0.096,28.0,210.0,0.99771,3.56,0.72
368,9.5,0.56,0.33,2.4,0.089,35.0,67.0,0.9972,3.28,0.73
2723,6.2,0.2,0.49,1.6,0.065,17.0,143.0,0.9937,3.22,0.52
5196,6.0,0.38,0.26,3.5,0.035,38.0,111.0,0.98872,3.18,0.47
3926,7.6,0.3,0.38,2.1,0.043,10.0,98.0,0.99296,3.17,0.65
4210,7.5,0.21,0.32,4.8,0.056,39.0,113.0,0.99393,3.11,0.52
5232,5.8,0.28,0.34,2.2,0.037,24.0,125.0,0.98986,3.36,0.33
191,7.0,0.49,0.49,5.6,0.06,26.0,121.0,0.9974,3.34,0.76
3062,5.5,0.14,0.27,4.6,0.029,22.0,104.0,0.9949,3.34,0.44
108,7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54
1652,5.4,0.29,0.47,3.0,0.052,47.0,145.0,0.993,3.29,0.75
2689,7.1,0.64,0.49,1.8,0.05,17.0,128.0,0.9946,3.31,0.58
3074,8.6,0.485,0.29,4.1,0.026,19.0,101.0,0.9918,3.01,0.38
2124,8.0,0.32,0.26,1.2,0.05,11.5,88.0,0.9946,3.24,0.37
3691,6.6,0.22,0.34,11.6,0.05,59.0,140.0,0.99526,3.22,0.4
2031,7.8,0.27,0.58,11.2,0.036,44.0,161.0,0.9977,3.06,0.41
3360,7.9,0.44,0.26,4.45,0.033,23.0,100.0,0.99117,3.17,0.52
3065,5.6,0.13,0.27,4.8,0.028,22.0,104.0,0.9948,3.34,0.45
476,10.6,0.31,0.49,2.5,0.067,6.0,21.0,0.9987,3.26,0.86
1803,5.6,0.19,0.47,4.5,0.03,19.0,112.0,0.9922,3.56,0.45
3866,6.2,0.255,0.24,1.7,0.039,138.5,272.0,0.99452,3.53,0.53
312,10.5,0.42,0.66,2.95,0.116,12.0,29.0,0.997,3.24,0.75
508,11.1,0.31,0.49,2.7,0.094,16.0,47.0,0.9986,3.12,1.02
166,7.9,0.5,0.33,2.0,0.084,15.0,143.0,0.9968,3.2,0.55
3567,9.6,0.655,0.21,2.0,0.039,21.0,120.0,0.99188,3.0,1.0
4867,6.5,0.23,0.2,7.5,0.05,44.0,179.0,0.99504,3.18,0.48
1024,7.9,0.34,0.36,1.9,0.065,5.0,10.0,0.99419,3.27,0.54
1221,7.2,0.37,0.32,2.0,0.062,15.0,28.0,0.9947,3.23,0.73
1807,7.9,0.345,0.51,15.3,0.047,54.0,171.0,0.9987,3.09,0.51
4951,6.2,0.2,0.28,1.1,0.039,24.0,78.0,0.9899,3.36,0.47
4794,6.0,0.33,0.26,5.1,0.051,16.0,119.0,0.99416,3.15,0.41
5102,6.0,0.24,0.41,1.3,0.036,42.0,118.0,0.99018,3.04,0.64
2555,5.8,0.17,0.3,1.4,0.037,55.0,130.0,0.9909,3.29,0.38
1566,6.8,0.21,0.27,2.1,0.03,26.0,139.0,0.99,3.16,0.61
4668,6.9,0.45,0.27,4.7,0.035,17.0,80.0,0.99058,3.12,0.36
2173,5.5,0.42,0.09,1.6,0.019,18.0,68.0,0.9906,3.33,0.51
4756,6.0,0.17,0.21,6.0,0.05,26.0,134.0,0.9939,3.08,0.54
1335,6.0,0.58,0.2,2.4,0.075,15.0,50.0,0.99467,3.58,0.67
4841,6.4,0.26,0.35,7.7,0.056,45.0,191.0,0.99527,3.16,0.5
4699,6.6,0.23,0.32,1.5,0.041,8.0,72.0,0.98949,3.22,0.39
4217,6.3,0.22,0.28,2.4,0.042,38.0,102.0,0.98998,3.14,0.37
152,8.0,0.42,0.17,2.0,0.073,6.0,18.0,0.9972,3.29,0.61
4318,6.4,0.38,0.2,5.3,0.117,57.0,181.0,0.99459,3.24,0.43
2877,6.7,0.37,0.41,6.3,0.061,22.0,149.0,0.9953,3.16,0.47
4991,6.2,0.32,0.32,2.2,0.036,15.0,70.0,0.9899,3.16,0.48
2276,6.3,0.23,0.21,5.1,0.035,29.0,142.0,0.9942,3.36,0.33
2754,6.6,0.46,0.49,7.4,0.052,19.0,184.0,0.9956,3.11,0.38
1844,6.0,0.38,0.26,6.0,0.034,42.0,134.0,0.9912,3.38,0.38
2384,9.7,0.24,0.45,1.2,0.033,11.0,59.0,0.9926,2.74,0.47
3250,7.4,0.33,0.26,15.6,0.049,67.0,210.0,0.99907,3.06,0.68
5033,8.6,0.36,0.26,11.1,0.03,43.5,171.0,0.9948,3.03,0.49
5131,6.0,0.28,0.52,6.2,0.028,37.0,104.0,0.99161,3.28,0.51
4159,7.6,0.28,0.49,20.15,0.06,30.0,145.0,1.00196,3.01,0.44
1983,5.8,0.2,0.3,1.5,0.031,21.0,57.0,0.99115,3.44,0.55
31,5.2,0.32,0.25,1.8,0.103,13.0,50.0,0.9957,3.38,0.55
1225,7.3,0.67,0.02,2.2,0.072,31.0,92.0,0.99566,3.32,0.68
937,6.1,0.48,0.09,1.7,0.078,18.0,30.0,0.99402,3.45,0.54
2154,8.2,0.345,1.0,18.2,0.047,55.0,205.0,0.99965,2.96,0.43
752,10.4,0.38,0.46,2.1,0.104,6.0,10.0,0.99664,3.12,0.65
1419,7.4,0.24,0.29,10.1,0.05,21.0,105.0,0.9962,3.13,0.35
309,6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59
2789,7.2,0.21,0.33,3.0,0.036,35.0,132.0,0.9928,3.25,0.4
1966,6.0,0.3,0.44,1.5,0.046,15.0,182.0,0.99455,3.5,0.52
3547,5.8,0.15,0.28,0.8,0.037,43.0,127.0,0.99198,3.24,0.51
2389,6.4,0.23,0.33,1.15,0.044,15.5,217.5,0.992,3.33,0.44
495,10.2,0.24,0.49,2.4,0.075,10.0,28.0,0.9978,3.14,0.61
3455,6.5,0.18,0.33,1.4,0.029,35.0,138.0,0.99114,3.36,0.6
205,5.2,0.48,0.04,1.6,0.054,19.0,106.0,0.9927,3.54,0.62
1135,6.6,0.58,0.02,2.4,0.069,19.0,40.0,0.99387,3.38,0.66
4633,5.5,0.28,0.21,1.6,0.032,23.0,85.0,0.99027,3.42,0.42
3816,6.9,0.3,0.3,10.55,0.037,4.0,28.0,0.99184,3.07,0.32
701,12.9,0.5,0.55,2.8,0.072,7.0,24.0,1.00012,3.09,0.68
305,10.7,0.67,0.22,2.7,0.107,17.0,34.0,1.0004,3.28,0.98
1192,7.7,0.28,0.3,2.0,0.062,18.0,34.0,0.9952,3.28,0.9
4203,6.2,0.36,0.45,10.4,0.06,22.0,184.0,0.99711,3.31,0.56
2191,8.2,0.26,0.44,1.3,0.046,7.0,69.0,0.9944,3.14,0.62
1061,7.4,0.55,0.19,1.8,0.082,15.0,34.0,0.99655,3.49,0.68
843,9.7,0.295,0.4,1.5,0.073,14.0,21.0,0.99556,3.14,0.51
3437,6.4,0.31,0.4,6.4,0.039,39.0,191.0,0.99513,3.14,0.52
2561,9.2,0.28,0.49,11.8,0.042,29.0,137.0,0.998,3.1,0.34
211,8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09
1340,6.8,0.67,0.15,1.8,0.118,13.0,20.0,0.9954,3.42,0.67
1108,6.7,0.86,0.07,2.0,0.1,20.0,57.0,0.99598,3.6,0.74
4157,7.2,0.37,0.4,11.6,0.032,34.0,214.0,0.9963,3.1,0.51
679,9.9,0.35,0.41,2.3,0.083,11.0,61.0,0.9982,3.21,0.5
4406,5.6,0.26,0.18,1.4,0.034,18.0,135.0,0.99174,3.32,0.35
565,15.9,0.36,0.65,7.5,0.096,22.0,71.0,0.9976,2.98,0.84
2369,7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41
4065,6.3,0.22,0.34,5.0,0.032,36.0,93.0,0.99012,3.27,0.36
680,10.0,0.56,0.24,2.2,0.079,19.0,58.0,0.9991,3.18,0.56
180,7.0,0.42,0.35,1.6,0.088,16.0,39.0,0.9961,3.34,0.55
3017,6.8,0.28,0.37,7.0,0.057,35.0,208.0,0.9973,3.57,0.55
2351,7.6,0.21,0.44,1.9,0.036,10.0,119.0,0.9913,3.01,0.7
3668,5.5,0.15,0.32,14.0,0.031,16.0,99.0,0.99437,3.26,0.38
4550,4.9,0.345,0.34,1.0,0.068,32.0,143.0,0.99138,3.24,0.4
278,9.8,0.66,0.39,3.2,0.083,21.0,59.0,0.9989,3.37,0.71
1400,6.2,0.46,0.25,4.4,0.066,62.0,207.0,0.9939,3.25,0.52
3119,6.5,0.22,0.25,17.1,0.05,44.0,138.0,1.0001,3.3,0.37
1204,7.5,0.4,0.18,1.6,0.079,24.0,58.0,0.9965,3.34,0.58
4366,6.8,0.31,0.3,8.0,0.028,33.0,122.0,0.99164,3.13,0.63
432,8.7,0.69,0.31,3.0,0.086,23.0,81.0,1.0002,3.48,0.74
289,8.4,0.56,0.08,2.1,0.105,16.0,44.0,0.9958,3.13,0.52
1027,7.2,0.36,0.46,2.1,0.074,24.0,44.0,0.99534,3.4,0.85
535,9.6,0.6,0.5,2.3,0.079,28.0,71.0,0.9997,3.5,0.57
